Subject,word,repetition,token,Frame,X,Y
NJ0205c,pan,E,pan_E,19,465,162
NJ0205c,pan,E,pan_E,20,476,165
NJ0205c,pan,E,pan_E,21,486,168
NJ0205c,pan,E,pan_E,22,496,173
NJ0205c,pan,E,pan_E,23,506,178
NJ0205c,pan,E,pan_E,24,515,184
NJ0205c,pan,E,pan_E,25,524,191
NJ0205c,pan,E,pan_E,26,532,197
NJ0205c,pan,E,pan_E,27,541,203
NJ0205c,pan,E,pan_E,28,550,209
NJ0205c,pan,E,pan_E,29,559,216
NJ0205c,pan,E,pan_E,30,568,222
NJ0205c,pan,E,pan_E,31,577,228
NJ0205c,pan,E,pan_E,32,587,233
NJ0205c,pan,E,pan_E,33,596,239
NJ0205c,pan,F,pan_F,1,301,243
NJ0205c,pan,F,pan_F,2,307,233
NJ0205c,pan,F,pan_F,3,312,224
NJ0205c,pan,F,pan_F,4,318,216
NJ0205c,pan,F,pan_F,5,323,206
NJ0205c,pan,F,pan_F,6,329,198
NJ0205c,pan,F,pan_F,7,337,190
NJ0205c,pan,F,pan_F,8,345,183
NJ0205c,pan,F,pan_F,9,355,179
NJ0205c,pan,F,pan_F,10,365,176
NJ0205c,pan,F,pan_F,11,376,174
NJ0205c,pan,F,pan_F,12,386,172
NJ0205c,pan,F,pan_F,13,396,169
NJ0205c,pan,F,pan_F,14,407,167
NJ0205c,pan,F,pan_F,15,417,166
NJ0205c,pan,F,pan_F,16,428,164
NJ0205c,pan,F,pan_F,17,438,163
NJ0205c,pan,F,pan_F,18,449,164
NJ0205c,pan,F,pan_F,19,459,166
NJ0205c,pan,F,pan_F,20,469,170
NJ0205c,pan,F,pan_F,21,479,174
NJ0205c,pan,F,pan_F,22,488,179
NJ0205c,pan,F,pan_F,23,498,182
NJ0205c,pan,F,pan_F,24,507,189
NJ0205c,pan,F,pan_F,25,514,197
NJ0205c,pan,F,pan_F,26,521,205
NJ0205c,pan,F,pan_F,27,527,213
NJ0205c,pan,F,pan_F,28,533,222
NJ0205c,pan,F,pan_F,29,540,230
NJ0205c,pan,F,pan_F,30,547,238
NJ0205c,pan,F,pan_F,31,554,246
NJ0205c,pan,F,pan_F,32,559,256
NJ0205c,pan,F,pan_F,33,564,265
NJ0205c,pan,G,pan_G,1,319,247
NJ0205c,pan,G,pan_G,2,327,241
NJ0205c,pan,G,pan_G,3,335,234
NJ0205c,pan,G,pan_G,4,343,228
NJ0205c,pan,G,pan_G,5,352,223
NJ0205c,pan,G,pan_G,6,360,217
NJ0205c,pan,G,pan_G,7,369,211
NJ0205c,pan,G,pan_G,8,377,205
NJ0205c,pan,G,pan_G,9,385,199
NJ0205c,pan,G,pan_G,10,394,193
NJ0205c,pan,G,pan_G,11,402,187
NJ0205c,pan,G,pan_G,12,410,181
NJ0205c,pan,G,pan_G,13,418,175
NJ0205c,pan,G,pan_G,14,427,171
NJ0205c,pan,G,pan_G,15,437,168
NJ0205c,pan,G,pan_G,16,447,166
NJ0205c,pan,G,pan_G,17,457,165
NJ0205c,pan,G,pan_G,18,467,165
NJ0205c,pan,G,pan_G,19,478,165
NJ0205c,pan,G,pan_G,20,488,166
NJ0205c,pan,G,pan_G,21,497,169
NJ0205c,pan,G,pan_G,22,506,174
NJ0205c,pan,G,pan_G,23,514,180
NJ0205c,pan,G,pan_G,24,523,186
NJ0205c,pan,G,pan_G,25,529,194
NJ0205c,pan,G,pan_G,26,535,202
NJ0205c,pan,G,pan_G,27,541,211
NJ0205c,pan,G,pan_G,28,546,220
NJ0205c,pan,G,pan_G,29,550,229
NJ0205c,pan,G,pan_G,30,555,238
NJ0205c,pan,G,pan_G,31,559,247
NJ0205c,pan,G,pan_G,32,565,255
NJ0205c,pan,G,pan_G,33,570,264
NJ0205c,pan,H,pan_H,1,311,245
NJ0205c,pan,H,pan_H,2,318,237
NJ0205c,pan,H,pan_H,3,325,230
NJ0205c,pan,H,pan_H,4,332,224
NJ0205c,pan,H,pan_H,5,339,217
NJ0205c,pan,H,pan_H,6,346,210
NJ0205c,pan,H,pan_H,7,354,204
NJ0205c,pan,H,pan_H,8,363,199
NJ0205c,pan,H,pan_H,9,372,194
NJ0205c,pan,H,pan_H,10,380,188
NJ0205c,pan,H,pan_H,11,388,183
NJ0205c,pan,H,pan_H,12,397,178
NJ0205c,pan,H,pan_H,13,406,174
NJ0205c,pan,H,pan_H,14,416,172
NJ0205c,pan,H,pan_H,15,426,171
NJ0205c,pan,H,pan_H,16,436,170
NJ0205c,pan,H,pan_H,17,446,169
NJ0205c,pan,H,pan_H,18,456,170
NJ0205c,pan,H,pan_H,19,466,169
NJ0205c,pan,H,pan_H,20,476,170
NJ0205c,pan,H,pan_H,21,486,172
NJ0205c,pan,H,pan_H,22,495,176
NJ0205c,pan,H,pan_H,23,504,180
