Subject,repetition,word,token,Frame,X,Y
NJ0205a,G,pan,G_pan,16,408,175
NJ0205a,G,pan,G_pan,17,419,171
NJ0205a,G,pan,G_pan,18,431,167
NJ0205a,G,pan,G_pan,19,442,163
NJ0205a,G,pan,G_pan,20,454,163
NJ0205a,G,pan,G_pan,21,467,163
NJ0205a,G,pan,G_pan,22,479,164
NJ0205a,G,pan,G_pan,23,491,165
NJ0205a,G,pan,G_pan,24,503,168
NJ0205a,G,pan,G_pan,25,514,171
NJ0205a,G,pan,G_pan,26,526,176
NJ0205a,G,pan,G_pan,27,535,182
NJ0205a,G,pan,G_pan,28,545,190
NJ0205a,G,pan,G_pan,29,555,197
NJ0205a,G,pan,G_pan,30,564,205
NJ0205a,G,pan,G_pan,31,574,212
NJ0205a,G,pan,G_pan,32,584,218
NJ0205a,G,pan,G_pan,33,595,225
NJ0205a,H,pan,H_pan,1,245,277
NJ0205a,H,pan,H_pan,2,255,270
NJ0205a,H,pan,H_pan,3,264,262
NJ0205a,H,pan,H_pan,4,275,255
NJ0205a,H,pan,H_pan,5,285,249
NJ0205a,H,pan,H_pan,6,295,243
NJ0205a,H,pan,H_pan,7,306,237
NJ0205a,H,pan,H_pan,8,317,231
NJ0205a,H,pan,H_pan,9,327,225
NJ0205a,H,pan,H_pan,10,336,217
NJ0205a,H,pan,H_pan,11,346,210
NJ0205a,H,pan,H_pan,12,355,202
NJ0205a,H,pan,H_pan,13,365,195
NJ0205a,H,pan,H_pan,14,375,188
NJ0205a,H,pan,H_pan,15,385,181
NJ0205a,H,pan,H_pan,16,395,174
NJ0205a,H,pan,H_pan,17,405,168
NJ0205a,H,pan,H_pan,18,416,162
NJ0205a,H,pan,H_pan,19,427,157
NJ0205a,H,pan,H_pan,20,439,154
NJ0205a,H,pan,H_pan,21,451,153
NJ0205a,H,pan,H_pan,22,463,154
NJ0205a,H,pan,H_pan,23,475,156
NJ0205a,H,pan,H_pan,24,487,159
NJ0205a,H,pan,H_pan,25,498,163
NJ0205a,H,pan,H_pan,26,509,167
NJ0205a,H,pan,H_pan,27,520,172
NJ0205a,H,pan,H_pan,28,531,179
NJ0205a,H,pan,H_pan,29,540,186
NJ0205a,H,pan,H_pan,30,551,192
NJ0205a,H,pan,H_pan,31,561,199
NJ0205a,H,pan,H_pan,32,571,205
NJ0205a,H,pan,H_pan,33,582,211
NJ0205a,I,pan,I_pan,1,265,260
NJ0205a,I,pan,I_pan,2,275,255
NJ0205a,I,pan,I_pan,3,284,249
NJ0205a,I,pan,I_pan,4,294,244
NJ0205a,I,pan,I_pan,5,303,239
NJ0205a,I,pan,I_pan,6,312,232
NJ0205a,I,pan,I_pan,7,321,226
NJ0205a,I,pan,I_pan,8,329,218
NJ0205a,I,pan,I_pan,9,337,211
NJ0205a,I,pan,I_pan,10,346,205
NJ0205a,I,pan,I_pan,11,355,199
NJ0205a,I,pan,I_pan,12,365,195
NJ0205a,I,pan,I_pan,13,375,191
NJ0205a,I,pan,I_pan,14,385,186
NJ0205a,I,pan,I_pan,15,395,181
NJ0205a,I,pan,I_pan,16,404,175
NJ0205a,I,pan,I_pan,17,414,170
NJ0205a,I,pan,I_pan,18,424,166
NJ0205a,I,pan,I_pan,19,433,161
NJ0205a,I,pan,I_pan,20,444,157
NJ0205a,I,pan,I_pan,21,454,155
NJ0205a,I,pan,I_pan,22,465,155
NJ0205a,I,pan,I_pan,23,476,157
NJ0205a,I,pan,I_pan,24,486,161
NJ0205a,I,pan,I_pan,25,496,165
NJ0205a,I,pan,I_pan,26,506,171
NJ0205a,I,pan,I_pan,27,515,176
NJ0205a,I,pan,I_pan,28,524,183
NJ0205a,I,pan,I_pan,29,533,189
NJ0205a,I,pan,I_pan,30,540,197
NJ0205a,I,pan,I_pan,31,548,205
NJ0205a,I,pan,I_pan,32,556,212
NJ0205a,I,pan,I_pan,33,564,219
NJ0205a,J,pan,J_pan,1,261,262
NJ0205a,J,pan,J_pan,2,270,255
NJ0205a,J,pan,J_pan,3,278,248
NJ0205a,J,pan,J_pan,4,286,240
NJ0205a,J,pan,J_pan,5,295,233
NJ0205a,J,pan,J_pan,6,303,226
NJ0205a,J,pan,J_pan,7,311,219
NJ0205a,J,pan,J_pan,8,320,213
NJ0205a,J,pan,J_pan,9,330,208
NJ0205a,J,pan,J_pan,10,340,203
